game_id,espn_game_id,game_uid,season,season_type,date,week,home_away,winner,team_id,team_uid,team_city,team_name,team_abbr,team_full,team_color,team_color_alt,team_logo,team_order,team_score,team_record,pass_att,pass_cmp,pass_yds,pass_avg,pass_td,pass_int,pass_sacks,pass_sack_yds,pass_qbr,pass_rtg,rush_att,rush_yds,rush_avg,rush_td,rush_long,rec_total,rec_yds,rec_avg,rec_td,rec_long,rec_tgts,fum_total,fum_lost,fum_rec,def_tkl,def_solo_tkl,def_sacks,def_tfl,def_pd,def_qb_hts,def_td,int_total,int_yds,int_td,kick_ret_no,kick_ret_yds,kick_ret_avg,kick_ret_long,kick_ret_td,punt_ret_no,punt_ret_yds,punt_ret_avg,punt_ret_long,punt_ret_td,kick_fg_made,kick_fg_att,kick_fg_pct,kick_long,kick_xp_made,kick_xp_att,kick_pts,punt_no,punt_yds,punt_avg,punt_tb,punt_in_20,punt_long,first_downs,pass_1st_downs,rush_1st_downs,first_downs_from_penalties,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,total_plays,total_yards,yards_per_play,total_drives,redzone_att,redzone_conv,penalties,pen_yards,turnovers,def_sp_tds,possess_time,current,wallclockAvailable,guid,boxscoreMinutes,gameNote
2025_02_NE_MIA,401772728,s:20~l:28~e:401772728,2025,2,2025-09-14T17:00Z,2,home,0,15,s:20~l:28~t:15,Miami,Dolphins,MIA,Miami Dolphins,008e97,fc4c02,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,0,27,0-2,26,32,297,9.8,2,1,5,18,NA,115.5,15,61,4.1,0,18,26,315,12.1,2,47,32,NA,NA,NA,66,34,3,4,2,3,1,NA,NA,NA,6,128,21.3,27,0,2,93,46.5,74,1,2,2,100,44,3,3,9,2,88,44,0,1,48,16,15,1,0,4,10,0,2,52,358,6.9,8,2,1,10,65,1,1,26:15,TRUE,TRUE,af33088b-1e19-d27d-dbc0-354fd7151703,TRUE,NA
2025_02_SF_NO,401772833,s:20~l:28~e:401772833,2025,2,2025-09-14T17:00Z,2,away,1,25,s:20~l:28~t:25,San Francisco,49ers,SF,San Francisco 49ers,aa0000,b3995d,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,26,2-0,26,39,267,7.2,3,0,3,12,NA,113.1,26,77,3,0,13,26,279,10.7,3,42,38,2,1,2,77,46,3,7,3,5,0,NA,NA,NA,2,47,23.5,25,0,1,1,1,1,0,2,2,100,46,2,3,8,4,173,43.3,0,2,49,23,15,5,3,8,15,0,0,68,344,5.1,11,2,2,5,40,1,0,30:45,TRUE,TRUE,985a261f-296c-c95c-32a5-addc4df75001,TRUE,NA
2025_02_SF_NO,401772833,s:20~l:28~e:401772833,2025,2,2025-09-14T17:00Z,2,home,0,18,s:20~l:28~t:18,New Orleans,Saints,NO,New Orleans Saints,d3bc8d,000000,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,0,21,0-2,25,34,186,6.1,3,0,3,21,NA,118.1,30,121,4,0,15,25,207,8.3,3,39,34,2,1,2,61,42,3,7,6,6,0,NA,NA,NA,3,82,27.3,34,0,2,23,11.5,19,0,0,1,0,0,3,3,3,4,171,42.8,1,1,52,21,12,6,3,4,11,1,2,67,307,4.6,11,3,3,7,45,1,0,29:15,TRUE,TRUE,97d2f6c9-2f22-459c-306a-046941ccab2a,TRUE,NA
2025_02_BUF_NYJ,401772727,s:20~l:28~e:401772727,2025,2,2025-09-14T17:00Z,2,away,1,2,s:20~l:28~t:2,Buffalo,Bills,BUF,Buffalo Bills,00338d,d50a0a,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,30,2-0,15,27,179,6.7,0,0,1,1,NA,76.2,43,224,5.2,3,44,15,180,12,0,32,25,1,0,2,53,33,4,5,4,7,0,NA,NA,NA,2,47,23.5,27,0,4,22,5.5,9,0,3,3,100,52,3,3,12,3,130,43.3,0,2,48,25,9,12,4,5,14,2,2,71,403,5.7,11,4,2,6,69,0,0,38:21,TRUE,TRUE,232afaf2-01ac-fcc2-8bd6-66550df1703a,TRUE,NA
2025_02_BUF_NYJ,401772727,s:20~l:28~e:401772727,2025,2,2025-09-14T17:00Z,2,home,0,20,s:20~l:28~t:20,New York,Jets,NYJ,New York Jets,115740,ffffff,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,0,10,0-2,10,22,54,3.8,1,0,4,29,NA,70.8,21,100,4.8,0,27,10,83,8.3,1,18,21,3,1,2,80,40,1,4,6,2,0,NA,NA,NA,7,174,24.9,33,0,1,11,11,11,0,1,1,100,51,1,1,4,7,340,48.6,1,3,55,11,5,5,1,0,11,3,3,47,154,3.3,10,1,1,5,35,1,0,21:39,TRUE,TRUE,732d3caf-b350-1e34-48c6-b7cebb4a0d88,TRUE,NA
2025_02_SEA_PIT,401772836,s:20~l:28~e:401772836,2025,2,2025-09-14T17:00Z,2,away,1,26,s:20~l:28~t:26,Seattle,Seahawks,SEA,Seattle Seahawks,002a5c,69be28,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,31,1-1,22,33,278,8.9,2,2,2,17,NA,89.8,29,117,4,1,20,22,295,13.4,2,43,30,NA,NA,NA,63,40,3,2,5,8,1,2,28,0,5,133,26.6,32,0,2,30,15,22,0,1,2,50,54,4,4,6,4,175,43.8,1,2,52,21,13,8,0,6,14,1,2,64,395,6.2,12,3,2,2,10,2,1,31:17,TRUE,TRUE,3767a23c-a17d-294f-288a-9086ad1f0680,TRUE,NA
2025_02_SEA_PIT,401772836,s:20~l:28~e:401772836,2025,2,2025-09-14T17:00Z,2,home,0,23,s:20~l:28~t:23,Pittsburgh,Steelers,PIT,Pittsburgh Steelers,000000,ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,0,17,1-1,20,35,195,6.1,1,2,3,20,NA,61,21,72,3.4,0,13,20,215,10.8,1,65,31,NA,NA,NA,72,47,2,6,6,8,0,2,43,0,4,78,19.5,24,0,NA,NA,NA,NA,NA,3,3,100,48,0,0,9,4,221,55.3,1,1,64,13,6,6,1,5,15,1,2,59,267,4.5,12,2,1,2,15,2,0,28:43,TRUE,TRUE,debcd592-8d53-71f1-fc15-5c8b8ef9df6e,TRUE,NA
2025_02_LA_TEN,401772724,s:20~l:28~e:401772724,2025,2,2025-09-14T17:00Z,2,away,1,14,s:20~l:28~t:14,Los Angeles,Rams,LA,Los Angeles Rams,003594,ffd100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,33,2-0,23,33,290,9,2,1,1,8,NA,105.4,25,149,6,2,45,23,298,13,2,40,32,1,0,2,69,46,5,6,4,8,0,NA,NA,NA,3,80,26.7,30,0,2,14,7,14,0,2,2,100,21,3,4,9,3,145,48.3,0,1,51,22,12,8,2,5,12,1,1,59,439,7.4,11,6,3,4,29,1,0,29:53,TRUE,TRUE,2e1473b2-e269-fd7a-1137-c1edacb85986,TRUE,NA
2025_02_LA_TEN,401772724,s:20~l:28~e:401772724,2025,2,2025-09-14T17:00Z,2,home,0,10,s:20~l:28~t:10,Tennessee,Titans,TEN,Tennessee Titans,4b92db,002a5c,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,0,19,0-2,19,33,143,5.3,1,0,5,32,NA,82.3,26,109,4.2,0,10,19,175,9.2,1,26,31,1,1,0,62,36,1,2,4,6,0,1,0,0,5,83,16.6,21,0,2,37,18.5,21,0,4,4,100,57,1,1,13,5,250,50,0,2,57,18,10,7,1,6,15,1,1,64,252,3.9,11,3,1,10,62,1,0,30:07,TRUE,TRUE,0a0aea59-9a5e-01b3-57a3-0151cf4bf393,TRUE,NA
2025_02_CAR_ARI,401772730,s:20~l:28~e:401772730,2025,2,2025-09-14T20:05Z,2,away,0,29,s:20~l:28~t:29,Carolina,Panthers,CAR,Carolina Panthers,0085ca,000000,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,1,22,0-2,35,55,303,6,3,1,3,25,NA,90.6,19,49,2.6,0,14,35,328,9.4,3,40,53,1,1,0,55,32,1,4,5,4,0,1,0,0,5,113,22.6,35,0,1,12,12,12,0,1,1,100,27,1,1,4,2,95,47.5,0,1,60,26,19,4,3,5,15,3,4,77,352,4.6,10,4,3,7,83,2,0,33:15,TRUE,TRUE,647c27bf-ab86-550e-5b83-91c29e73e4a9,TRUE,NA
